CHR Start Stop Strand
19 49516907 49517202 +1
12 120291110 120291406 +1
17 29289925 29290183 -1
17 69252553 69252855 +1
12 56679129 56679431 +1
19 49517208 49517515 +1
1 155307696 155307896 +1
15 72224580 72224885 +1
5 171398859 171399145 -1
1 45519582 45519892 -1
15 41333638 41333936 +1
16 23879482 23879791 -1
1 29079712 29080013 +1
1 204556415 204556698 +1
6 26185667 26185986 +1
12 123235781 123236083 +1
1 161211366 161211679 +1
1 171493538 171493821 +1
2 20271312 20271604 -1
10 124779131 124779432 -1
8 100716129 100716414 +1
21 41391389 41391681 -1
1 173859642 173859946 -1
19 45012771 45013067 +1
17 32475602 32475892 -1
1 235124065 235124367 +1
9 4737473 4737741 +1
1 225788198 225788391 +1
17 7492288 7492594 +1
1 235126147 235126431 -1
19 46781900 46782159 -1
12 50457541 50457826 +1
12 57402359 57402570 -1
1 224136752 224137051 -1
15 41357086 41357397 +1
5 61383536 61383846 -1
14 102612712 102612984 +1
17 75149070 75149375 +1
1 162573682 162573981 +1
2 61505558 61505852 -1
15 78875490 78875799 +1
12 98549221 98549461 -1
14 71431411 71431721 +1
2 53965246 53965514 -1
5 151778774 151779059 +1
19 48989499 48989724 -1
17 76559214 76559495 -1
2 38307348 38307393 -1
12 50456920 50457201 -1
1 205740338 205740636 +1
22 18149156 18149422 -1
8 97708925 97709209 +1
7 104990972 104991249 -1
1 151211208 151211496 +1
14 21245845 21246123 -1
20 35803327 35803621 -1
 "X" 74278655 74278785 -1
2 61513363 61513624 -1
7 139073013 139073328 +1
22 41855240 41855529 +1
1 8605460 8605771 +1
5 61366651 61366945 +1
15 72481427 72481693 +1
17 32355114 32355394 +1
14 71390518 71390809 +1
1 32656993 32657296 +1
17 29425398 29425693 +1
15 65608093 65608389 +1
12 98551209 98551476 +1
18 63357594 63357876 -1
16 74502924 74503216 +1
 "X" 74276374 74276651 -1
12 68821440 68821748 +1
3 58245496 58245798 +1
15 50683877 50684134 -1
8 128024339 128024637 +1
19 45013147 45013440 -1
11 66635326 66635611 +1
14 71480480 71480789 +1
17 67355082 67355391 -1
5 138573378 138573668 +1
16 74586702 74586994 -1
2 69384435 69384723 +1
10 94567623 94567904 +1
14 102602374 102602706 -1
21 41427895 41428205 -1
19 49516550 49516854 -1
16 74591050 74591346 +1
20 5111832 5112143 -1
3 131478708 131478992 -1
1 151452930 151453219 -1
11 34061200 34061507 -1
1 202769387 202769696 +1
20 35629655 35629961 -1
14 67796220 67796505 -1
1 26737112 26737417 -1
6 3070444 3070725 -1
2 37155743 37155968 +1
7 2369765 2370075 -1
8 130353587 130353861 +1
8 23066975 23067276 -1
9 128327523 128327815 +1
14 71402350 71402648 -1
1 205735948 205736251 -1
11 118782645 118782929 -1
1 155558840 155559137 -1
1 29054567 29054854 +1
3 183641212 183641494 +1
17 48923893 48924136 -1
5 16876562 16876854 -1
1 173945990 173946178 +1
11 61849747 61850059 +1
16 89687559 89687726 -1
8 102390238 102390493 +1
7 131339422 131339712 +1
19 21119122 21119415 +1
3 177031334 177031630 -1
5 134379921 134380209 -1
15 65308465 65308764 +1
2 216502044 216502331 +1
5 16926419 16926724 +1
1 204535985 204536266 +1
1 205729740 205730051 +1
17 43320519 43320812 -1
3 196742095 196742378 -1
19 15333077 15333351 -1
1 235209551 235209864 -1
13 45333931 45334210 -1
3 37265755 37266048 +1
11 63706884 63707198 -1
3 48251760 48252053 +1
1 153866781 153867078 -1
16 70286555 70286825 +1
2 216501722 216502015 -1
21 31727512 31727803 +1
17 28590241 28590524 -1
14 54899178 54899474 +1
19 10963090 10963400 +1
2 61509355 61509650 +1
1 61715382 61715675 +1
10 94565900 94566179 -1
4 1898089 1898350 -1
10 21686700 21687003 +1
5 146146721 146147011 -1
12 49509273 49509569 -1
16 1369699 1369973 +1
14 102628643 102628853 -1
17 27314292 27314569 +1
9 129948006 129948293 +1
17 77491223 77491497 -1
3 58240570 58240727 -1
13 32498720 32499011 +1
10 73622676 73622957 +1
11 67587679 67587991 -1
12 123359265 123359568 +1
1 173862265 173862550 -1
22 41856124 41856428 -1
3 179397743 179398028 -1
13 60424395 60424696 +1
16 74563446 74563756 +1
2 96624923 96625239 +1
7 76345660 76345973 +1
 "X" 74277796 74277968 +1
19 45019065 45019363 -1
1 52070633 52070938 -1
19 11528258 11528493 -1
14 71609766 71609848 -1
11 130073562 130073857 +1
17 42472051 42472351 -1
17 7487018 7487312 -1
13 45346013 45346291 -1
6 154735516 154735811 -1
1 29077944 29078232 +1
7 99551191 99551497 -1
19 40620503 40620788 +1
12 50008994 50009263 +1
17 81858009 81858287 +1
14 71433331 71433611 -1
